time;memory_free;r_a1;r_a2
1.666.738.395.324;-1114710016;2;3
1.666.738.395.324;-1114501120;2;3
1.666.738.395.324;-1114705920;2;3
1.666.738.395.324;-1114664960;2;3
1.666.738.395.324;-1114640384;2;3
1.666.738.395.324;-1114566656;3;3
1.666.738.395.324;-1122152448;3;3
1.666.738.395.324;-1122295808;3;3
1.666.738.395.324;-1185161216;3;3
1.666.738.395.324;-1321304064;3;3
1.666.738.395.324;-1333469184;3;3
1.666.738.395.324;-1335218176;3;3
1.666.738.395.324;-1335980032;3;3
1.666.738.395.324;-1336561664;3;3
1.666.738.395.324;-1336586240;3;3
1.666.738.395.324;-1336553472;3;3
1.666.738.395.324;-1336598528;3;3
1.666.738.395.324;-1336688640;3;3
1.666.738.395.324;-1336934400;3;3
1.666.738.395.324;-1336877056;3;3
1.666.738.395.324;-1337475072;3;3
1.666.738.395.324;-1337389056;3;3
1.666.738.395.324;-1337315328;3;3
1.666.738.395.324;-1337380864;3;3
1.666.738.395.324;-1337442304;3;3
1.666.738.395.324;-1337475072;3;3
1.666.738.395.324;-1337450496;3;3
1.666.738.395.324;-1337319424;3;3
1.666.738.395.324;-1337602048;3;3
1.666.738.395.324;-1337470976;3;3
1.666.738.395.324;-1337569280;3;3
1.666.738.395.324;-1337536512;3;3
1.666.738.395.324;-1337597952;3;3
1.666.738.395.324;-1337737216;3;3
1.666.738.395.324;-1337696256;3;3
1.666.738.395.324;-1337761792;3;3
1.666.738.395.324;-1337856000;3;3
1.666.738.395.324;-1337757696;3;3
1.666.738.395.324;-1337823232;3;3
1.666.738.395.324;-1337888768;3;3
1.666.738.395.324;-1337864192;3;3
1.666.738.395.324;-1337896960;3;3
1.666.738.395.324;-1337798656;3;3
1.666.738.395.324;-1337823232;3;3
1.666.738.395.324;-1337884672;3;3
1.666.738.395.324;-1338015744;3;3
1.666.738.395.324;-1337856000;3;3
1.666.738.395.324;-1337888768;3;3
1.666.738.395.324;-1337757696;3;3
1.666.738.395.324;-1337856000;3;3
1.666.738.395.324;-1337724928;3;3
1.666.738.395.324;-1337831424;3;3
1.666.738.395.324;-1337790464;3;3
1.666.738.395.324;-1337831424;3;3
1.666.738.395.324;-1337733120;3;3
1.666.738.395.324;-1337864192;3;3
1.666.738.395.324;-1337864192;3;3
1.666.738.395.324;-1337831424;3;3
1.666.738.395.324;-1337765888;3;3
1.666.738.395.324;-1337831424;3;3
1.666.738.395.324;-1337991168;3;3
1.666.738.395.324;-1337892864;3;3
1.666.738.395.324;-1337958400;3;3
1.666.738.395.324;-1337819136;3;3
1.666.738.395.324;-1338023936;3;3
1.666.738.395.324;-1389268992;3;4
1.666.738.395.324;-1346093056;3;4
1.666.738.395.324;-1397501952;3;4
1.666.738.395.324;-1518657536;3;4
1.666.738.395.324;-1555746816;3;4
1.666.738.395.324;-1558876160;3;4
1.666.738.395.324;-1559814144;3;4
1.666.738.395.324;-1560539136;3;4
1.666.738.395.324;-1560539136;3;4
1.666.738.395.324;-1560563712;3;4
1.666.738.395.324;-1560498176;3;4
1.666.738.395.324;-1560604672;3;4
1.666.738.395.324;-1560432640;3;4
1.666.738.395.324;-1560432640;3;4
1.666.738.395.324;-1560657920;3;4
1.666.738.395.324;-1561067520;3;4
1.666.738.395.324;-1561165824;3;4
1.666.738.395.324;-1561133056;3;4
1.666.738.395.324;-1561198592;3;4
1.666.738.395.324;-1561452544;3;4
1.666.738.395.324;-1561493504;3;4
1.666.738.395.324;-1561460736;3;4
1.666.738.395.324;-1561452544;3;4
1.666.738.395.324;-1561452544;3;4
1.666.738.395.324;-1561993216;3;4
1.666.738.395.324;-1561894912;3;4
1.666.738.395.324;-1561829376;3;4
1.666.738.395.324;-1561935872;3;4
1.666.738.395.324;-1562243072;3;4
1.666.738.395.324;-1562341376;3;4
1.666.738.395.324;-1562284032;3;4
1.666.738.395.324;-1562341376;3;4
1.666.738.395.324;-1562468352;3;4
1.666.738.395.324;-1562501120;3;4
1.666.738.395.324;-1562501120;3;4
1.666.738.395.324;-1562468352;3;4
1.666.738.395.324;-1562476544;3;4
1.666.738.395.324;-1562337280;3;4
1.666.738.395.324;-1562411008;3;4
1.666.738.395.324;-1562501120;3;4
1.666.738.395.324;-1562370048;3;4
1.666.738.395.324;-1562443776;3;4
1.666.738.395.324;-1562411008;3;4
1.666.738.395.324;-1562509312;3;4
