cpu0;r_a1;r_a2
2105.39;6;6
2107.63;6;6
2109.8;6;6
2111.88;6;6
2113.91;6;6
2115.87;6;6
2117.71;6;6
2119.73;6;6
2121.88;6;6
2124.04;6;6
2125.88;6;6
2127.93;6;6
2129.88;6;6
2131.77;6;6
2133.65;6;6
2135.64;6;6
2137.74;6;6
2139.77;6;6
2141.91;6;6
2144.02;6;6
2146.18;6;6
2148.17;6;6
2150.16;6;6
2152.12;6;6
2154.17;6;6
2156.19;6;6
2158.25;6;6
2160.2;6;6
2162.26;6;6
2164.29;6;6
2166.37;6;6
2168.37;6;6
2170.24;6;6
2172.25;6;6
2174.32;6;6
2176.37;6;6
2178.45;6;6
2180.55;6;6
2182.69;6;6
2184.52;6;6
2186.42;6;6
2188.52;6;6
2190.56;6;6
2192.63;6;6
2194.72;6;6
2196.8;6;6
2199.06;6;6
2201.13;6;6
2203.18;6;6
2205.3;6;6
2207.31;6;6
2209.38;6;6
2209.38;6;7
2211.42;6;7
2211.69;6;7
2212.88;6;7
2213.66;6;7
2213.67;6;7
2213.67;6;7
2213.67;6;7
2214.1;6;7
2215.55;6;7
2217.26;6;7
2219.1;6;7
2220.98;6;7
2222.94;6;7
2224.8;6;7
2226.69;6;7
2228.65;6;7
2230.45;6;7
2232.4;6;7
2234.27;6;7
2236.11;6;7
2237.86;6;7
2239.66;6;7
2241.5;6;7
2243.65;6;7
2245.58;6;7
2247.43;6;7
2249.33;6;7
2251.35;6;7
2253.16;6;7
2254.87;6;7
2256.69;6;7
2258.61;6;7
2260.46;6;7
2262.29;6;7
2264.14;6;7
2266.15;6;7
2267.98;6;7
2269.85;6;7
2271.68;6;7
2273.52;6;7
2275.38;6;7
2277.14;6;7
2279.01;6;7
2280.91;6;7
2282.81;6;7
2284.55;6;7
2286.52;6;7
2288.43;6;7
2290.31;6;7
2292.19;6;7
2294.02;6;7
2295.86;6;7
2297.68;6;7
2299.45;6;7
2301.23;6;7
2303.02;6;7
2304.88;6;7
2306.72;6;7
2308.64;6;7
2310.53;7;7
2310.64;7;7
2311.6;7;7
2311.6;7;7
2312.45;7;7
2312.79;7;7
2312.79;7;7
2312.79;7;7
2312.79;7;7
2313.4;7;7
2314.97;7;7
2316.45;7;7
2318.08;7;7
2319.64;7;7
2321.16;7;7
2322.78;7;7
2324.39;7;7
2326.15;7;7
2327.81;7;7
2329.34;7;7
2330.91;7;7
2332.41;7;7
2334.17;7;7
2335.67;7;7
2337.33;7;7
2338.88;7;7
2340.51;7;7
2342.06;7;7
2343.55;7;7
2345.04;7;7
2346.79;7;7
2348.37;7;7
2350.14;7;7
2351.95;7;7
2353.43;7;7
2355.08;7;7
2356.82;7;7
2358.25;7;7
2359.78;7;7
2361.33;7;7
2362.95;7;7
2364.58;7;7
2366.24;7;7
2367.8;7;7
2369.47;7;7
2370.98;7;7
2372.41;7;7
2374.15;7;7
2375.72;7;7
2377.34;7;7
2378.86;7;7
2380.54;7;7
2382.2;7;7
2384.0;7;7
2385.67;7;7
2387.37;7;7
2389.12;7;7
2390.9;7;7
2392.61;7;7
2394.26;7;7
2396.02;7;8
2396.3;7;8
2396.96;7;8
2397.61;7;8
2398.06;7;8
2398.08;7;8
2398.08;7;8
2398.08;7;8
2398.08;7;8
2398.15;7;8
2398.91;7;8
2400.31;7;8
2401.83;7;8
2403.16;7;8
2404.7;7;8
2406.33;7;8
2407.61;7;8
2409.11;7;8
2410.57;7;8
2412.14;7;8
2413.61;7;8
2414.91;7;8
2416.36;7;8
2417.71;7;8
2419.01;7;8
2420.28;7;8
2421.59;7;8
2422.9;7;8
2424.25;7;8
2425.53;7;8
2426.91;7;8
2428.31;7;8
2429.87;7;8
2431.31;7;8
2432.92;7;8
2434.24;7;8
2435.7;7;8
2437.08;7;8
2438.44;7;8
2439.85;7;8
2441.15;7;8
2442.58;7;8
2443.86;7;8
2445.09;7;8
2446.4;7;8
2447.45;7;8
2448.81;7;8
2450.2;7;8
2451.6;7;8
2452.95;7;8
2454.28;7;8
2455.69;7;8
2457.09;7;8
2458.59;7;8
2460.05;7;8
2461.5;7;8
2462.88;7;8
2464.32;7;8
2465.65;7;8
2467.07;7;8
2468.34;8;8
2468.59;8;8
2469.02;8;8
2469.6;8;8
2470.25;8;8
2470.25;8;8
2470.26;8;8
2470.26;8;8
2470.26;8;8
2470.26;8;8
2470.26;8;8
2470.31;8;8
2470.93;8;8
2472.1;8;8
2473.27;8;8
2474.5;8;8
2475.85;8;8
2477.0;8;8
2478.28;8;8
2479.36;8;8
2480.63;8;8
2481.98;8;8
2483.35;8;8
2484.63;8;8
2485.72;8;8
2487.02;8;8
2488.4;8;8
2489.69;8;8
2490.83;8;8
2492.18;8;8
2493.51;8;8
2494.7;8;8
2495.93;8;8
2497.31;8;8
2498.69;8;8
2499.98;8;8
2501.11;8;8
2502.29;8;8
2503.44;8;8
2504.73;8;8
2506.03;8;8
2507.3;8;8
2508.57;8;8
2509.75;8;8
2510.95;8;8
2512.21;8;8
2513.28;8;8
2514.64;8;8
2515.8;8;8
2516.9;8;8
2518.17;8;8
2519.46;8;8
2520.7;8;8
2521.9;8;8
2523.32;8;8
2524.61;8;8
2525.74;8;8
2527.12;8;8
2528.4;8;8
2529.65;8;8
2530.76;8;9
2531.08;8;9
2531.1;8;9
2531.62;8;9
2532.03;8;9
2532.48;8;9
2532.48;8;9
2532.49;8;9
2532.49;8;9
2532.49;8;9
2532.49;8;9
2532.49;8;9
2532.49;8;9
2532.49;8;9
2532.52;8;9
2533.03;8;9
2534.0;8;9
2534.95;8;9
2535.95;8;9
2536.94;8;9
2537.98;8;9
2539.08;8;9
2540.06;8;9
2541.01;8;9
2541.93;8;9
2542.87;8;9
2543.93;8;9
2544.95;8;9
2545.92;8;9
2547.06;8;9
2548.26;8;9
2549.38;8;9
2550.47;8;9
2551.6;8;9
2552.77;8;9
2553.87;8;9
2554.91;8;9
2555.78;8;9
2556.74;8;9
2557.75;8;9
2558.84;8;9
2559.94;8;9
2560.91;8;9
2561.94;8;9
2562.97;8;9
2564.1;8;9
2565.12;8;9
2566.21;8;9
2567.06;8;9
2568.11;8;9
2569.21;8;9
2570.22;8;9
2571.1;8;9
2572.17;8;9
2573.23;8;9
2574.31;8;9
2575.45;8;9
2576.53;8;9
2577.44;8;9
2578.42;8;9
2579.3;9;9
2579.66;9;9
2579.75;9;9
2580.08;9;9
2580.45;9;9
2580.8;9;9
2580.8;9;9
2580.81;9;9
2580.81;9;9
2580.81;9;9
2580.81;9;9
2580.81;9;9
2580.81;9;9
2580.81;9;9
2581.11;9;9
2581.91;9;9
2582.71;9;9
2583.45;9;9
2584.32;9;9
2585.18;9;9
